Rank,State,Postal,Population
1,Alabama,AL,4849377
2,Alaska,AK,736732
4,Arizona,AZ,6731484
5,Arkansas,AR,2966369
6,California,CA,38802500
8,Colorado,CO,5355866
9,Connecticut,CT,3596677
10,Delaware,DE,935614
11,District of Columbia,DC,658893
12,Florida,FL,19893297
13,Georgia,GA,10097343
15,Hawaii,HI,1419561
16,Idaho,ID,1634464
17,Illinois,IL,12880580
18,Indiana,IN,6596855
19,Iowa,IA,3107126
20,Kansas,KS,2904021
21,Kentucky,KY,4413457
22,Louisiana,LA,4649676
23,Maine,ME,1330089
24,Maryland,MD,5976407
25,Massachusetts,MA,6745408
26,Michigan,MI,9909877
27,Minnesota,MN,5457173
28,Mississippi,MS,2994079
29,Missouri,MO,6063589
30,Montana,MT,1023579
31,Nebraska,NE,1881503
32,Nevada,NV,2839098
33,New Hampshire,NH,1326813
34,New Jersey,NJ,8938175
35,New Mexico,NM,2085572
36,New York,NY,19746227
37,North Carolina,NC,9943964
38,North Dakota,ND,739482
39,Ohio,OH,11594163
40,Oklahoma,OK,3878051
41,Oregon,OR,3970239
42,Pennsylvania,PA,12787209
43,Puerto Rico,PR,3548397
44,Rhode Island,RI,1055173
45,South Carolina,SC,4832482
46,South Dakota,SD,853175
47,Tennessee,TN,6549352
48,Texas,TX,26956958
49,Utah,UT,2942902
50,Vermont,VT,626562
51,Virginia,VA,8326289
53,Washington,WA,7061530
54,West Virginia,WV,1850326
55,Wisconsin,WI,5757564
56,Wyoming,WY,584153
