review_id,user_id,business_id,stars,funny,cool,text,date
UB-qapZJ1jKm7dwJn_et8Q,LckfWMnpIVKgPrXwjKWbJg,MUQDp-1rzSN3lCjUycNLug,1,0,0,"Super slow. Consistently handed the wrong order. Better off driving to 18th St Dunkin

Edit: these people cannot get an order right to save their lives. PAY ATTENTION TO THE DAMN SLIP. Horribly slow line.",2018-01-07 15:54:35
6a4DnwqFHGlHGQCZSmPx0A,JXR5AtQzzcV-PUNrJwKNfg,TEMI8cox1nHyZu3NAnC0dg,3,1,0,"This place is 4th on my Dunkin donuts spots in South philly.  24th street would be #1, followed by new one near penrose, then one near graysferry, here and others are hit or miss on consistency.",2018-06-19 20:47:12
139OM84nrj5UzMU16cOzng,2I5KvdaoUstYsc-GlVMeWw,4pyR9gY74U0cRWZDB9C6Cw,2,0,0,"Bad service. Now, before I start, I just want to say I work in customer service/industry work too so I know what's it like to not want to deal with people or still being at work when it's late and you'd rather be curled up in bed or whatever but I'll never take it out on the customers because I know that at the end of the day, I need it to pay my bills. I don't expect top-notch customer service either but this particular employee barely met the bare minimum. First off, I went in and that one employee was having a side conversation with someone for like 2 minutes before even taking a look at me. Second, I ordered hash browns and politely asked if she could make sure they're ""fresh"" because I once got old ones that were sitting in the oven for probably ages. They were really chewy and stale. Guess she thought that was such a hard and demanding request because the employee decided to go on a full blown 5 minute rant saying ""she wants them fresh. She's fresh. I don't care if she hears me (guess her friends or the other customers that were there were saying something). I said what I said. I don't care what she is. Chinese. Japanese. Blackiness."" Honestly baffled by this whole exchange because it was so unnecessary and rude. Treat people like how you want to be treated right? Do better please.",2019-12-19 04:30:48
9hHeM8ojb-mFQxJNzJGcjA,eBS5jVoG9z5snypR1Q3tfw,F1GL5ew2UMYNjawcR7HPyA,1,0,0,We did the drive in. We ordered two medium pumpkin spice coffees. A few miles down the road we were settled in for our travel and discovered not one trace of pumpkin spice in either. We backtracked. The cashier rectified the issue. The person making the coffee the first time took a hell of a long time getting our order wrong with no other traffic. The cashier was good but the inconvenience causes the bad rating.,2019-11-19 02:43:55
jybOhYHQpPZzKrw2WxCzjQ,8yELlP49GNv4mRKJti_y3g,VbtcX28aEOOSgMq8zwwnWg,1,0,0,"This location is the worst I've ever been to. On any day you will have 1 or more of the following: a long wait, workers who mess up your order or don't know what they're doing, or donuts that taste a day old.",2018-05-13 15:01:12
ngUOYU4UhaXSlYF-5QFs3Q,3LteNs_Y3E0rM-U4KmBuzQ,4GmZ1qVrioP3duIk_YZMxg,5,0,0,"So far in the last few month this store is worth stopping and dunking my donuts. Love the iced coffee!  Staff puts the sugar in for me as well, which is a must when driving through to the next errand of the day. When I feel sluggish this is my go to stop for coffee. Kids love it too.",2017-06-23 17:03:13
15Hbcujxnqk45LhQhe185A,TWtGTj20J9H9IYQUVtdhVA,l8FMRUu-IVSuzcfCIeyHsg,1,1,0,"Ask them how much after you order n they say come around n will keep saying it til you get to window then you must ask price. The price light is never on n then at window price light not on you have to ask the price . Those price lights should be on at all times , they are at stores run by Americans.",2018-01-05 12:15:33
K-r8wK_G3dqExxQkpPZe_w,fYAUYuwAhsmpBUtL1N168w,4GmZ1qVrioP3duIk_YZMxg,5,0,1,"This location was clean, and had fast friendly service on a Sunday morning. It was pretty chilly inside, so you might want to bring a jacket! It seems they have a lot more flavors than I remembered. Also, their coffee does not come sweetened, you need to ask for it.",2018-10-09 01:08:03
RItHSaWz6gCBfCCCh5qkVA,2_n9Iw8PZe7tp0VENgN3fQ,4GmZ1qVrioP3duIk_YZMxg,1,0,0,"Very disappointed. Ordered a dozen donuts but they were out of a lot of the ones I wanted. Do they just make donuts in the morning and not consider that some people order donuts in the afternoon? Very poor variety at 5 PM.  I wish I went to the grocery store instead or drove further to a Krispy Kreme instead. This location should only be open in the morning and that's it. If you were a donut stop, you should have all the donuts available all day long.",2018-11-04 02:45:29
5iac9oofx1YGMF0SVAVNxg,ynO2E2xuey8iT_q8y-Dy8Q,xM-HnG-yurTNI38ui0Akzw,5,2,1,"I love this Dunkin Donuts. The drive thru attendants are always very friendly. The drive thru is tight so take your time and be careful. Their iced drinks are always mixed so well, a lot of places don't mix in the sugar so you drink all the sugar first and the rest of the drink isn't sweet enough. This DD does it right!",2017-04-03 22:32:18
CuAL7nSrGPHEXhnYIzFNGA,XuIh9qSP8Lvh49H4yHFXXQ,4GmZ1qVrioP3duIk_YZMxg,1,0,1,"I recently moved here from Washington state. There are NO Dunkin Donuts in WA. I was so excited to finally be moving someone where there was one again. I used to go all the time as a kid. 
I ordered an ADVERTISED summer drink. The Banana Split coffee or something along those lines. The girl was confused. I kept saying ""the banana split coffee"" and she DID NOT understand what I was talking about. Then a guy comes on and he goes ""you mean the banana spit swirl into the coffee"" I said, ""yeah what ever is advertised"". And when I pulled up to the window the guy working says to me, super snappy and rude, ""next time you order that drink, say you want the banana spit swirl. We don't have banana coffee."" 
Excuse me, I was ordering an ADVERTISED summer drink that everyone was raving about online. I don't understand how no one ghat works there understood what I was saying. And as I was ordering, the drink was on the menu. Every time I go there, the staff seems like they don't want to be there. I get attitude from everyone every time. 
They need to practice good customer service. Don't snap at a paying customer because they ""ordered"" a drink ""wrong"".",2019-08-27 17:49:07
MrZs94dJ3V3-yNgGPvDzNg,IpzCgH0dck0cdYqXILn8zw,tSfeCQ9uasc5hlPu5gjGhA,5,0,0,"I am very surprised by the 2 star rating , I honestly have been coming here for coffee for the last month and it's fast friendly staff and the coffee is always fresh . I get ice coffee and hot coffee . They even gave me a free coffee when they forgot to put extra flavor in my coffee. It does a great business always crowded . Do go and if u have a prob they will go out of their way to satisfy u. Can't do better than that. Def recommend highly. From a coffee luvr.",2017-10-25 13:36:50
zsbcFDb48tsQUfD-fCYuYw,XEwEdPIjryudxfU098wapg,5ZjEI6N5iZ_ACQEjlfABFg,4,0,1,This Dunkin' Donuts has always been consistent and entertaining. Because of it's close proximity to Camden I've always seen some really random people with interesting stories in this DD! It's about 2 Minutes from Camden's ferry station and right on a major road route 130. I wish it had a drive through but it serves it purpose.,2018-08-21 11:27:28
Jxr5V02towMucNtk9g4afw,njfnc6_ITdzBhZ5Xl-j-xw,z_bTPCOeRv7IDHSNF0bxzg,4,0,0,"The location of this is in a very unpleasant location it's very hard to explain but here goes... its slab dab in the middle of a parking lot and a TGIF and the drive through sometimes blocks people trying to pass and get into the shopping center.  Besides they it has great fresh coffe, donuts, and ice cream!",2017-11-16 13:43:57
