año,puesto,juego
2017,1,Unturned
2017,2,Robocraft
2017,3,ARK: Survival Evolved
1997,1,Oddworld: Abe's Oddysee®
1997,2,Fallout: A Post Nuclear Role Playing Game
1997,3,Total Annihilation
1998,1,Half-Life
1998,2,Fallout 2: A Post Nuclear Role Playing Game
1998,3,Thief™ Gold
2016,1,Starbound
2016,2,Heroes & Generals
2016,3,Killing Floor 2
2006,1,Garry's Mod
2006,2,Toribash
2006,3,Company of Heroes - Legacy Edition
2005,1,"Star Wars: Battlefront 2 (Classic, 2005)"
2005,2,Grand Theft Auto: San Andreas
2005,3,Synergy
2003,1,POSTAL 2
2003,2,STAR WARS™ - Knights of the Old Republic™
2003,3,Grand Theft Auto: Vice City
2007,1,Team Fortress 2
2007,2,Portal
2007,3,BioShock™
2002,1,The Elder Scrolls III: Morrowind® Game of the Year Edition
2002,2,Grand Theft Auto III
2002,3,Stronghold Crusader HD
2000,1,Counter-Strike
2000,2,Deus Ex: Game of the Year Edition
2000,3,Ricochet
1995,1,Ultimate Doom
1995,2,STAR WARS™ - Dark Forces
1995,3,Master Levels for Doom II
1996,1,"I Have No Mouth, and I Must Scream"
1996,2,Pajama Sam: No Need to Hide When It's Dark Outside
1996,3,The Original Strife: Veteran Edition
1994,1,Wolfenstein 3D
1994,2,DOOM II
1994,3,Freddi Fish and The Case of the Missing Kelp Seeds
2001,1,Half-Life: Blue Shift
2001,2,Sid Meier's Civilization® III Complete
2001,3,Red Faction
1993,1,X-COM: UFO Defense
1993,2,Putt-Putt® Goes to the Moon
1993,3,Litil Divil
2004,1,Counter-Strike: Source
2004,2,Half-Life 2
2004,3,Rome: Total War™ - Collection
1999,1,Sven Co-op
1999,2,Team Fortress Classic
1999,3,Worms Armageddon
2008,1,Call of Duty: World at War
2008,2,AudioSurf
2008,3,SPORE™
2009,1,Left 4 Dead 2
2009,2,Killing Floor
2009,3,Call of Duty®: Modern Warfare® 2
1992,1,Cosmo's Cosmic Adventure
1992,2,Word Rescue
1989,1,Sword of the Samurai
2010,1,Sid Meier's Civilization® V
2010,2,Mount & Blade: Warband
2010,3,Fallout: New Vegas
2011,1,Terraria
2011,2,Portal 2
2011,3,No More Room in Hell
2013,1,Rust
2013,2,Warframe
2013,3,DayZ
2012,1,Counter-Strike: Global Offensive
2012,2,Borderlands 2
2012,3,PlanetSide 2
2014,1,Loadout
2014,2,Goat Simulator
2014,3,Insurgency
2015,1,Grand Theft Auto V
2015,2,Rocket League®
2015,3,Undertale
1990,1,Commander Keen
1990,2,LOOM™
1991,1,Crystal Caves
