review_id,user_id,business_id,stars,funny,cool,text,date
mAFlzN9vZLzefjyAPM2I-Q,95XtGNJ9nPWt2whad5Rrgw,rKe7iEiqe8TVqvwZLdlhRA,1,0,0,"Absolutely horrible. Tried this location on August 9th, everything was fine until I pulled out of the drive through and opened a sandwich that appeared to have been sitting for a long while. Sandwich was cold, lettuce was wilted and the entire thing was sloppy. I filled out a survey immediately and was called by a BK employee who was nice and apologized. He explained that if I returned to this location with 30 days, they would make things right by covering a meal for me. I returned today, with my receipt w/ survey code, as instructed. Immediately, a small blonde girl with a BIG attitude came over and told me no, basically, and accused me of making up the survey code because there were letters in it.. saying it was impossible to give me what a higher up had assured me I'd receive. She did nothing to resolve the situation and had a crappy personality. She shouldn't be working in customer service. She continued to stand behind the counter and gossip about the interaction with the rest of the employees.. very professional. I paid for a meal again JUST so I could fill out a survey again with the survey code from my receipt. They tried not to give me a receipt.. so I had to request a duplicate before leaving. I'm livid.",2018-08-24
_dFLScH8h-XuOMRGb7SMCw,YCqsDqp9NdW29WwcjcoViw,eKJ-hREL0uhNl7bimXMCng,3,0,0,This location is permanently closed. They removed all of the signage. I don't know why. There was no warning or anything. It wasn't the best location but it wasn't that bad. The workers there were very friendly. The bad part about it is it's just around the corner from my house.,2019-01-17
xmuvZsOEEGxcLUcc_y8zvg,kP8sAyKy1ZVJyQr-CGB4AQ,a93-oNkJsUWOCiHu5O9xLA,2,0,1,I ran here because I needed something fast because I only had 20 mins between appointments and I was starving. They were out of Sprite which is ok because I understand that maybe they were waiting for their truck or any number of things could have happened. I ordered a crispy chicken sandwich with cheese and I GOT a spicy chicken sandwich NO cheese.  Disappointed. I'm pregnant and I was really craving that.  .,2019-04-26
s9ymyrD_Wls5sCM348QhVw,uu4yUAkNhSJS8U8fJ4StEw,eKJ-hREL0uhNl7bimXMCng,5,0,0,Polly was the best! She was so sweet and got our order right and made sure of it! Definitely a pleasure!! So happy she was working drive thru when we went!,2017-11-29
erW9gHKipXQjoBq4FSgP2g,dPNilvJdWn_jJVAbWHb69g,-v0JE4wW_4Xs6C3WT2XgDA,1,0,0,"Women in drive through rude when I questioned my sundae that costs 1.75 and was only filled half way in the container. Telling me ""that's how they come."" Happily I will spend my money anywhere but there. The wait time for food is always too long and after today and her rudeness I will travel to another location or another restaurant all together.",2019-04-07
kONZzzImj9hLIgUPY2dZ7g,TPYOWMwLyRaVAYD4IHl_CQ,-v0JE4wW_4Xs6C3WT2XgDA,1,0,0,"There are two huge crater sized pot holes in the entrance to the drive through. So big and deep it would certainly have damaged my tiny, low car had I not backed out today. This needs to be addressed. Other than that, food is consistent and the employees are very nice.",2019-03-01
Y3QiUhWqvNsV5G3sImUiag,VpmOTBuwqTNejQ-1KiLsKg,P2YTnJHCnrO8aprZF3odvQ,5,0,0,Excellent experience. Fast drive thru. Super friendly staff and everything was hot and fresh! Highly recommend,2019-11-24
jMr67NOB-K_DOG5lN81sUA,iT65ij2bvBwmpY6ZCkQf-A,a93-oNkJsUWOCiHu5O9xLA,1,0,0,"Waited in drive thru for 13 minutes only to come to the window and be told it will be another 6 minutes for my spicy chicken sandwich...ok fine
Sat out front for another 15 minutes 
Finally got my food brought out
The cheesy tots and fries were cold and stale like they had been sitting in the bag the entire time I was waiting
They couldn't even give me fresh fries for making me wait almost 30 minutes for an over cooked piece of fried chicken on a bun
I don't eat fast food often so when I do it's a treat
This meal was a total disappointment ‍‍
I will not be back",2019-12-17
rE8Yo3Efa8f99XGKbzNymg,B_lO7_JoRDB5wC0GccD4hA,p_iyQ6Mo33ZbGS5k5_bTng,1,0,0,Horrible.... This place turned into a ghetto jungle..No matter how many times you repeat the order they alway get everything wrong and give you attitude and tell you! That you did not order that! As if you dont know what the hell you ordered. Went back because they gave me the wrong food then when I got home still there were items missing and ketchup splashed everywhere even after I asked for NO ketchup on the hamburgers...,2018-02-12
Nik-FyzMZEmKjastv9nQ7A,7PZHU3pUGlyEybqOtuqvxQ,-s1TSRhuQXh0RQJhaFB1vA,2,0,1,Order was wrong again over charged chicken sandwich was over cooked and hard. Employees did not seam to care. I only eat here because on the convenience of this location. I would never eat here if there was another fast food choice with in walking distance of the dealer.,2017-02-15
