review_id,user_id,business_id,stars,funny,cool,text,date
OCdWPZ--1ZJE_qw_TVnjYA,eZg60HZVrM5qgAx_3qf3qg,WhzPmavp93LcoFVZSELUSw,3,0,0,"My son and I have come here a few times as we waited for his chess lesson.  It's a McDonald's.  It is trying to be trendier McDonald's.  Flowers on the table, cafe style, etc.  One visit my son shared a magic trick.  The lady was impressed and gave him a cookie.  That was nice.

It's comfortable enough and things seem clean enough.  In the end, it's a McDonald's.",2017-09-10
l8wVlsFcTL69nc6LiXdyxQ,HDn1_QQQlr5N0B4t-7rcUg,c4x06huNhVp04VI_MUiQsw,1,0,0,"Cant rate it ZERO, but it fully deserves it.  I rated this filthy dump a couple years ago.  Nothing changed.  Apparently people who frequent this place are blind.   Couldn't get a basic order right.  Was given a number and told they would bring it out.   After 15 minutes still no food.  I have pretty low expectations of McDonald's in general but this place needs to be imploded",2017-09-02
_Uf2mT4O4ahdl_sA5_U3Vg,ftiitD4ua2PbMsKfs43LRg,_3VCzu9a79nrU0YA-WvUCg,5,0,0,"My favorite McDonald's. 5 stars for staff, service, speed and cleanliness. Always excellent and friendly, they bring the food to your table, quickly and efficiently. And the order is always right! 

Hard to say much about the food - after all it is McDonald's. 

It's a matter of recognizing the team. Having gone occasionally over the last year I observe they must be doing something very right. Same staff and same great attitude. 

Please bring your special magic up to Westchase - they need some help. They truly get it here.",2017-07-12
MqZnoFOuTHnBtpPLRC4Keg,kRFGTdnn98QavLJql1XjXg,7a3P2nje3j65pX6d5xYCvA,3,0,0,"I don't usually take time out of my day to write reviews for things, but I feel this needs to be addressed. I took my daughter to this McDonalds Playplace today and was shocked at how dirty the play area was. All of the tables needed wiped off, there were hairballs on the floor, and every inch of the playground looked like it needed THOROUGHLY cleaned. I hope the managers of this McDonalds take this review seriously and do something about the poor conditions of the play area. I am always looking for places my daughter can play and hope one day to be able to take her back here; however, we will not be returning until it is cleaned.",2017-01-01
DYrm0fNebiuFDsVpFLSGYA,L8OCDJlTIXjJ6rbTL3VhMA,9DhjKaR2f9wKATnUvxBAgg,5,0,0,I did a review on this McDonald's like a year ago and it wasn't good at all but I must give credit where credit is due and hats off to whatever they did because now the orders are correct and also the food is hot and very yummy I prefer breakfast myself they are friendly and you get your food fast so great job McDonald's you completely redeemed yourselves and I'm so happy cuz your the closest to my place!!! Keep up the great work y'all,2018-01-07
jImOhNu5mlxEiq1D4IW4Pg,rjhGCqSTrtEkAlun9MFbAg,PjknD8uD_0tisZQbomiYoQ,1,0,0,"Don't understand why it says 24 hours when it's not , then a sign Says 12 pm it's 1120 and there shut down we walked 3 blocks for nothing",2018-11-05
4JZlrvXk2K_Iqpa6inXZHg,VBLOJ1kmtCkZ0-_fWoQ1gw,gq4zw-ru_rkZ2UBIanaZFQ,1,0,0,"This is the worst McDonald's on the face of the earth. Period. I strongly wish they get their franchise pulled it's an absolute joke. Expect to wait 20 minutes at least. Expect a very rude, not trained staff, THEY DONT KNOW WHAT THEY ARE DOING. Has your staff ever been to a McDonald's before? I am a huge advocate for McDonald's and visit frequently but this one is so absolutely pitiful it makes me want to go across the street to checkers(eww).",2018-08-01
doeIScvXLhbaxoN6XTYgag,biCtyFaeKkk63X6FADCPNg,c4x06huNhVp04VI_MUiQsw,1,0,0,Worst managed McDonald's I've ever been to. Be prepared to wait 10 to 15 minutes for your food if you're eating in. They only care about drive thru customers. Avoid this McDonald's at all cost.,2017-10-22
rZQ54WufGlNwvDmxKcj2Yw,7paEiNXBxEjoI6hDrusVSA,gq4zw-ru_rkZ2UBIanaZFQ,1,0,0,Worst McDonald's ever. So dirty and the customer service is like shit. Don't go!! Flies all over the place and the foods are bad,2017-08-25
SsK0-5WxoRpLalzX5lKXMQ,l5g5Wk4Jxw3ARBNegbMEyQ,eOeKgRKbs-iAsIEOmHTrYg,1,0,0,"Worst fast food experience of my life. Rude. Delayed. Disorganized. Of the myriad of things that went wrong during my dine in visit to this location, the blatant rudeness and disregard for basic customer service was by far the most appalling. DO NOT EAT AT THIS LOCATION.",2018-12-31
OBQnIhjcKdBGX10Sv8NO8A,TMvw_P9T36Jqm3Q8pxlwEQ,6jNFUIKiCCKnLCpGJpkyrg,1,0,0,This place is very unorganized and borderline unsanitary. No matter the temperature there are always flies buzzing around. Every few months I decide to give them the benefit of the doubt and each time I decide to eat elsewhere. Take a 5 minute drive to Oxford Circle instead,2018-10-02
oV0qA65DhEIB-XOEDDkbQA,mIXtkGxNoN8IBdtQxKITcg,5D-Gjagh385iopO3xqjjIQ,1,0,0,Extremely rude staf I work customer service in the food industry and the drive-through girl has no customer service skills whatsoever in fact she was so rude I did not order the drive-through and went inside and got a much pleasant experience in ordering with her do not recommendAfter all I can't expect much from a McDonald'sf,2018-07-05
