review_id,user_id,business_id,stars,funny,cool,text,date
CEHaucuAzqSzOdMB3mPNTA,jsej79maZJg_X619aw8dig,1QtF1bFgzG3Jo0-L4kv0Cg,2,0,0,"This place was slow and didn't have any deals but the $5.99 6in meal deal. Considering the time of night and lack of customers, you would think that they moved a little faster. Actually ended up leaving so I didn't try their food.",2017-10-24
3kLKI7hBik4xKy_FUPXXTQ,uZ_F1KUH5V04eMBYEXr6Xw,wXBAAafoiZ4Nty2ajuBtfw,4,1,1,"I don't normally review fast-food chains but I enjoy going to this Subway. The store is very clean and well maintained. Menu is the standard Subway menu. The reason I like going here is the night manager Miss Trina. She has great customer service and is very efficient. Also, the staff doesn't skimp on the toppings like some other Subways.",2017-08-02
CYK_xEubeGE6fxwwwZqiyA,YazB4ROLMQ6-jvDfumvijA,zJdQwRbI7p0bH_60sfBSYA,5,0,0,This Subway location knows how to handle their business appropriately.  On two different occasions they have gone above and beyond for me.  Recently our area was hit hard with flooding and I needed to feed sand baggers on a budget.  The employees took care of me graciously unlike a nearby competitor of theirs.  These Subway employees know that word of mouth can make or break a business.  Great job and thank you! The sandwiches were great!,2017-05-03
0pgkcbEjVNbRdN8BWgYSdg,KG8SNh9SITNPrGa6IdQcsg,DfkO7MHuy2wxgeUZ2-o3BA,1,0,0,"We actually went to the subway at 204 St. Charles St and had a most unprofessional experience.
1.  We, three of us, was about to enter the door of the establishment at 8:12 am when employee #1 who also was about to enter the door told us that they are not open yet.  We told her that her posted business hours opened at 7:00 am.  She was shocked.
2.  I ordered the daily special foot-long for $6.00 and employee #1 told me $7.75.  Then I asked if their tax was over 10% and she said ""no"".  So I said, if the tax rate was 10%, then the maximum of my sandwich would only be $6.60 and how could she account for the balance.  A total ""deer in the headlights"" experience for her.
3.  Then my friend ordered a fancier sandwich and his price was $5.75.
4.  Finally my last friend ordered his sandwiches and employee #2 said that they are out of bread and it won't be ready for another 30 minutes.

Truly amazed with the quality of employees hired.",2017-04-03
E1UPtQToxHDJlA9SBnft1w,0DK-fg2ZBnpkMKnU9SgPMQ,qBvsNlxtqy8hPxx1C7HuVA,4,1,3,"I never realized there was a subway this close to me so I decided to stop in for lunch.

The place was already busy as most subways are but I was promptly greeted and asked for my order.  The person making the sandwich was attentive to my portion size requests when adding ingredients.  

It is hard to say more than ""Well, it is a subway and they are all the same"" but I would put them on the above average side of that scale. It has become one of my go-to places for lunch when I am in the office.",2017-04-13
8V6jYAbMljzjPHksV1BYPQ,XF-Bs5-h0wHWVBfK7WDScA,wQnVwt98pXX0n0Szro_XGg,4,0,0,"Me and my mom usually go here a lot and are satisfied with what we get. The last time we went here we were very angry at our service. The guy taking our order was very rude. My mom asked for a 6 inch tuna sandwich. He put the cheese on, then the tuna. That's supposed to be it until we add our toppings. He proceeded to but extra cheese on without asking. My mom told him he already put cheese on and he responded with ""I know but it makes the sandwich taste better"". Once he pulled the sandwich out the toaster, we asked for light mustard and regular amount of mayo. He put it on and didn't spread it, so when we asked for him to spread it he took a piece of lettuce and mixed to mayo and mustard together. He then continued to be rude until me and my mom left. Didn't figure out his name but he was a caucasain man around 5'9 with dark hair. Hopefully your service will be better than mine 

(BTW, he didn't charge us for the extra cheese, which I'm pretty sure is illegal)",2019-09-22
LWYwtrF9J2F9-2vRgFCyNQ,w8ZlbioMoXsxVgveaWgtPA,CmDTNEVReN6CgE6ctlZhag,2,0,0,"My order has been messed up for the 2nd time and if I'm paying $9 for a salad and a CUP OF ICE, My order should be correct.  This isn't the first time that my order has been messed up either. Looks like I'll have to go to a different location.",2018-10-03
pcaRjchNDBGd6v5L7IbUBg,kl69HkkfiptBcsED8GWyxg,DfkO7MHuy2wxgeUZ2-o3BA,5,0,1,"I'm not sure why the Subway at 132 Carondelet St across from the Domino's won't show up in Yelp's search, even though it is present in the map within the app, but this review is specifically to praise the employee Shaq. Generally Subway is an uneventful trip, but when my boyfriend and I visited the Carondelet location, we got to conversing with her for a good while. She was exceptionally friendly and helpful, and if we hadn't been using gift cards we'd have tipped her well for sure. I will be visiting this Subway because of her great attitude and pleasant service.",2018-09-08
C7mzOYkwA9roa3hgC4vcEg,KqBUD2AWQwIaY63seD9RAg,M2S5ELqHjz1B1booBTN1dQ,4,0,0,"I like Subway, and I like this location. But they no longer have the small pizza, which my little boy loves. Are there any Subways nearby that do?",2017-02-16
bvxcpH2B6WPzDEnSLvB2MA,eDvw7pvQJOe5E7NZoaX3IQ,wQnVwt98pXX0n0Szro_XGg,2,0,0,I've gone there on more than one occasion at 10:30 and they're closed..if they changed their hours they should post it on the door and website! Or hire staff that don't close early on their behalf!,2017-06-22
